Time,gwl_median(m),gwl_median_abs_error(m),Number of Wells
2014-07-01,6.642771871,4.002269805999999,24
2014-08-01,6.771574452,4.2102384520000005,24
2014-09-01,6.711696,4.1492424,24
2014-10-01,6.651817548,4.1079174190000005,24
2014-11-01,6.5916048,4.1086532,24
2014-12-01,6.541106323,4.111653678,24
2015-01-01,6.482899355,4.230559876999999,24
2015-02-01,6.454793143,4.136789143,24
2015-03-01,6.420661161,4.060230967,24
2015-04-01,6.4044576,4.0948864,24
2015-05-01,6.375334452,4.492850323,24
2015-06-01,6.3241936,4.498848000000001,24
2015-07-01,6.308671742,4.001335742,24
2015-08-01,6.451337806,4.208304774,24
2015-09-01,6.5620392,4.1245536000000005,24
2015-10-01,6.575863355,4.207813161000001,24
2015-11-01,6.5665096,4.2647616,24
2015-12-01,6.526652903,4.217940387,24
2016-01-01,6.490666839,4.404065033,24
2016-02-01,6.473373931,4.343978069,24
2016-03-01,6.447503226,4.339172129,24
2016-04-01,6.4049656,4.3862752,24
2016-05-01,6.239157677,4.479380129,24
2016-06-01,6.1375036,4.457445999999999,24
2016-07-01,6.245253677,4.5945158710000005,24
2016-08-01,6.375432774,4.404065032,24
2016-09-01,6.4686688,4.116628799999999,24
2016-10-01,6.473411226,4.0948896779999995,24
2016-11-01,6.4554608,4.2020744,24
2016-12-01,6.444061935,4.3840072249999995,24
2017-01-01,6.388804645,4.303677677,24
2017-02-01,6.369285857,4.318526143000001,24
2017-03-01,6.365698839,4.327275097,24
2017-04-01,6.3517272,4.3132248,24
2017-05-01,6.322830194,4.488032517,24
2017-06-01,6.2630304,4.2391584,24
2017-07-01,6.335808774,4.397674064,24
2017-08-01,6.312408,4.15157265,24
2017-09-01,6.2733936,4.110431199999999,24
2017-10-01,6.236109677,4.306135742,24
2017-11-01,6.2112144,4.2486072,24
2017-12-01,6.177804387,4.204961806,24
2018-01-01,6.057752516,4.1505402579999995,24
2018-02-01,6.037979143,4.1679222860000005,24
2018-03-01,6.014244774,4.159979226,24
2018-04-01,6.0047632,4.1718992,24
2018-05-01,5.979684387,4.273394322,24
2018-06-01,5.9677808,4.3314112,24
2018-07-01,6.06817471,4.396887479999999,24
2018-08-01,6.141425032,4.341040258,24
2018-09-01,6.1617352,4.2874184,24
2018-10-01,6.13906529,4.293009677,24
2018-11-01,6.122416,4.2437304000000005,24
2018-12-01,6.094426839,4.274475871,24
2019-01-01,5.727486968,4.132399742,24
2019-02-01,5.649794571,4.138204286,24
2019-03-01,5.514126968,4.194565831999999,24
2019-04-01,5.4614064,4.1789096,24
2019-05-01,5.435960516,4.13652929,24
2019-06-01,5.2073556,4.1126156,24
2019-07-01,5.062138065,3.7009602590000004,24
2019-08-01,4.988887742,4.0352570320000005,24
2019-09-01,4.7120048,3.5618928,24
2019-10-01,4.699966839,3.491975613,24
2019-11-01,4.6999144,3.4626295999999996,24
2019-12-01,4.67828671,3.569404645,24
2020-01-01,4.543879742,3.3086269419999996,24
2020-02-01,4.4958,3.306515556,24
2020-03-01,4.4776136,3.3531047999999997,24
2020-04-01,4.365681931,3.217001567,24
2020-05-01,4.4049696,3.2902144,24
2020-06-01,4.28885131,3.002122344,24
2020-07-01,4.11734,2.7312112000000006,24
2020-08-01,4.3487848,2.747178031,24
2020-09-01,4.472361931,2.619831074,24
2020-10-01,4.570581103,2.6830282750000003,24
2020-11-01,4.633830857,2.7603994280000004,24
2020-12-01,4.421816727,3.0133636360000002,24
2021-01-01,4.944984889,2.8402917279999995,24
2021-02-01,5.012653714,2.940122571,24
2021-03-01,4.771004903,3.074153806,24
2021-04-01,4.41071,3.0676596,24
2021-05-01,4.404605806499999,3.0345298064999993,24
2021-06-01,4.571882769,3.223041169,24
2021-07-01,4.979252129,3.428311742,24
2021-08-01,5.611466323,3.6459979350000005,24
2021-09-01,5.3462936,3.4666936,24
2021-10-01,5.164098581,3.130590966999999,24
2021-11-01,5.0950368,2.8512008,24
2021-12-01,5.057615226,2.7713202580000003,24
2022-01-01,5.041883613,2.7799726450000004,24
2022-02-01,5.025281143,2.679083143,24
2022-03-01,5.002357935,2.648220387,24
2022-04-01,5.0349912,2.6626312000000003,24
2022-05-01,5.145122323,2.908480258,24
2022-06-01,5.2663344,3.2065976000000003,24
2022-07-01,5.767012645,3.5575076129999994,24
2022-08-01,6.403553032,3.9371310969999995,24
2022-09-01,6.3081408,3.5187127999999994,24
2022-10-01,6.214577032,3.5295840000000003,24
2022-11-01,6.1463936,3.548888,24
2022-12-01,,,24
