Time,sm_EWH(m),sm_EWH_uncer(m),sma_EWH(m),sma_EWH_uncer(m)
2004-01,0.009664639,6.463525122177057e-05,-0.0003790617,6.515939304226673e-05
2004-02,0.010229089,8.90384329067209e-05,0.00018538907,8.94196473691316e-05
2004-03,0.011924373,3.3414703780968184e-05,0.0018806726,3.4417629638094686e-05
2004-04,0.010869633,1.6738443505873978e-05,0.00082593336,1.8660286496582498e-05
2004-05,0.011122701,1.6323941006383396e-05,0.0010790005,1.8289391764492602e-05
2004-06,0.010804606,1.6805813988850342e-05,0.00076090544,1.8720742105029975e-05
2004-07,0.009568342,1.8749764395192935e-05,-0.00047535822,2.048376103186251e-05
2004-08,0.007761281,1.8341081314058296e-05,-0.002282419,2.011034720993406e-05
2004-09,0.008944915,1.6455903669265693e-05,-0.0010987855,1.840726939845659e-05
2004-10,0.0092566665,1.601211701291941e-05,-0.0007870339,1.801162658869619e-05
2004-11,0.009769096,2.6258733303523377e-05,-0.00027460456,2.7523660291479622e-05
2004-12,0.009387992,6.287532545332925e-05,-0.0006557077,6.341401542243858e-05
2005-01,0.009999192,9.618147005505448e-05,-4.4507535e-05,9.653448079876198e-05
2005-02,0.011114559,4.756397845471382e-05,0.0010708586,4.8273831913115046e-05
2005-03,0.011551149,4.9624652924333873e-05,0.0015074492,5.030543687312339e-05
2005-04,0.011951416,1.658657185956534e-05,0.0019077159,1.8524177908553165e-05
2005-05,0.011129755,1.681521405966413e-05,0.001086054,1.87291811088347e-05
2005-06,0.01172446,1.67552365588443e-05,0.0016807594,1.8675351490080097e-05
2005-07,0.008224723,1.809700517103503e-05,-0.0018189773,1.9887996311737214e-05
2005-08,0.008710857,1.707480494398828e-05,-0.001332844,1.8962588563021954e-05
2005-09,0.007984852,1.8235591812695398e-05,-0.002058848,2.0014185216851766e-05
2005-10,0.008552509,1.617943204919821e-05,-0.0014911912,1.8160529248065057e-05
2005-11,0.008696251,6.176198126463054e-05,-0.0013474495,6.231029714957055e-05
2005-12,0.010269866,0.0001422435210478986,0.0002261661,0.00014248245534534832
2006-01,0.010859586,5.376397054992949e-05,0.00081588625,5.439297133296626e-05
2006-02,0.009440637,7.649681566318049e-05,-0.0006030627,7.694019500717307e-05
2006-03,0.011676782,6.929402467988206e-05,0.0016330816,6.9783183199617e-05
2006-04,0.011838122,1.7261475506699465e-05,0.0017944224,1.9130847806712327e-05
2006-05,0.009570727,1.5740608778832865e-05,-0.0004729733,1.777069401749618e-05
2006-06,0.009912102,1.7439500783963956e-05,-0.00013159886,1.9291630017421644e-05
2006-07,0.007874449,1.7863443761212386e-05,-0.0021692514,1.967570644589927e-05
2006-08,0.008976212,1.598205206235194e-05,-0.0010674887,1.79849044828971e-05
2006-09,0.009941431,1.6011160358339756e-05,-0.00010226965,1.8010776139735755e-05
2006-10,0.00948467,1.6242274136946248e-05,-0.0005590305,1.8216538372449286e-05
2006-11,0.008364244,6.448089248320029e-05,-0.0016794555,6.500627890108186e-05
2006-12,0.00966582,4.5613549455314545e-05,-0.00037788003,4.635328138382039e-05
2007-01,0.009128606,0.00014305645976169613,-0.00091509445,0.0001432940385385414
2007-02,0.01079443,0.00011174929108081818,0.00075072946,0.00011205326794967042
2007-03,0.013140688,7.477239179425175e-05,0.0030969873,7.522593552604243e-05
2007-04,0.012756364,1.759663779004221e-05,0.002712664,1.943379691797632e-05
2007-05,0.011572975,1.3975209221362922e-05,0.0015292749,1.622767000884821e-05
2007-06,0.011406161,1.4061656780317259e-05,0.0013624609,1.630217753990695e-05
2007-07,0.008576468,1.5086509157750227e-05,-0.0014672325,1.7193997781263258e-05
2007-08,0.009619131,1.4194330718809182e-05,-0.00042456985,1.6416754420107965e-05
2007-09,0.0085716015,1.4620168265931574e-05,-0.0014720991,1.6786307552864535e-05
2007-10,0.0103525175,1.2441575820206803e-05,0.00030881763,1.492727738153073e-05
2007-11,0.008038784,0.00010445967532288187,-0.0020049163,0.00010478480123423005
2007-12,0.008650915,0.00015157514933733691,-0.0013927855,0.00015179939623651733
2008-01,0.009112581,0.00013037221354284908,-0.0009311192,0.0001306328628837225
2008-02,0.009465825,0.00010895991741744432,-0.00057787524,0.0001092716541686429
2008-03,0.011360313,4.0765408433611395e-05,0.0013166122,4.1591457366800203e-05
2008-04,0.012165674,1.4617951366455824e-05,0.0021219738,1.6784376761955507e-05
2008-05,0.012074491,1.2432686455513435e-05,0.0020307906,1.4919869089114406e-05
2008-06,0.010843106,1.4200524360618151e-05,0.00079940556,1.6422109890379917e-05
2008-07,0.009471424,1.3734640080477552e-05,-0.0005722761,1.6020959374377825e-05
2008-08,0.008016982,1.2444445717757158e-05,-0.002026718,1.4929669465778832e-05
2008-09,0.008511917,1.2789585777656245e-05,-0.0015317835,1.521855136007469e-05
2008-10,0.010348679,1.2504295525342678e-05,0.00030497834,1.4979593042546559e-05
2008-11,0.010463617,3.4439945277428625e-05,0.0004199162,3.541384802372488e-05
2008-12,0.0092878025,0.00020682106632898174,-0.0007558979,0.0002069854687619212
2009-01,0.009526773,0.00013931257280477456,-0.0005169265,0.0001395565252599133
2009-02,0.0109430645,6.639228842171404e-05,0.00089936407,6.690266633705467e-05
2009-03,0.011708379,5.2782553493635314e-05,0.0016646788,5.3423110677343355e-05
2009-04,0.011652213,1.662294921455784e-05,0.0016085126,1.855675730630148e-05
2009-05,0.01081769,1.3685925482341818e-05,0.0007739894,1.597921642144625e-05
2009-06,0.01158467,1.4262862549547674e-05,0.00154097,1.6476044708682174e-05
2009-07,0.008906203,1.4816961169917038e-05,-0.0011374973,1.695798158526048e-05
2009-08,0.008648886,1.4777593859313217e-05,-0.0013948135,1.6923595404228264e-05
2009-09,0.008271801,1.4237948822598972e-05,-0.0017718993,1.6454482301493162e-05
2009-10,0.0105177555,1.3918297441934767e-05,0.00047405512,1.6178683655272208e-05
2009-11,0.010691977,1.850541323591464e-05,0.00064827653,2.0260333663766968e-05
2009-12,0.009328234,0.0003047256884813827,-0.00071546587,0.00030483729434173227
2010-01,0.009162862,0.00018067022647514375,-0.0008808382,0.00018085840189417505
2010-02,0.009394559,3.947707777430069e-05,-0.00064914156,4.0329523561943914e-05
2010-03,0.0133001,1.6025524910397415e-05,0.0032563999,1.8023547092317104e-05
2010-04,0.012080944,1.2992571128665791e-05,0.0020372444,1.538953234080374e-05
2010-05,0.011361516,1.3375635194493134e-05,0.0013178162,1.5714274338682257e-05
2010-06,0.011859548,1.1959677006036039e-05,0.001815848,1.4528065088782866e-05
2010-07,0.009912004,1.1654532718653589e-05,-0.00013169646,1.4277917706212321e-05
2010-08,0.0085304035,1.2263631743135478e-05,-0.0015132971,1.4779291751178216e-05
2010-09,0.008613539,1.1804720222419929e-05,-0.0014301613,1.4400771530192897e-05
2010-10,0.007784774,1.1753526225208566e-05,-0.002258926,1.4358836299013575e-05
2010-11,0.00981988,7.523621885099131e-05,-0.00022381991,7.568698321461535e-05
2010-12,0.0082248105,0.00011869808260613932,-0.0018188901,0.00011898430827428076
2011-01,0.0075317854,0.00012807265970283055,-0.0025119148,0.00012833797943123557
2011-02,0.009109604,6.535623095419441e-05,-0.00093409646,6.587463643674403e-05
2011-03,0.011374599,2.9822148048249075e-05,0.0013308987,3.094174066446312e-05
2011-04,0.012386721,1.1247836458205633e-05,0.0023430206,1.3947925513342267e-05
2011-05,0.011770184,1.0416185777362227e-05,0.0017264836,1.3286373744695257e-05
2011-06,0.010959929,9.25757108254361e-06,0.00091622846,1.2398928319961848e-05
2011-07,0.009426309,9.516409181392357e-06,-0.0006173916,1.259336511195054e-05
2011-08,0.008124859,9.869126731919204e-06,-0.0019188412,1.2861977436844093e-05
2011-09,0.0074634105,9.871520754330324e-06,-0.0025802895,1.2863814486316984e-05
2011-10,0.007972651,1.3598947943778995e-05,-0.002071049,1.5904785013096383e-05
2011-11,0.009085606,7.859407223029065e-05,-0.000958094,7.902568564002054e-05
2011-12,0.009495471,0.00013916287898688926,-0.0005482294,0.00013940709339576226
2012-01,0.009095355,0.00023883810546669623,-0.0009483457,0.00023898048335388377
2012-02,0.009138226,5.6725165411552006e-05,-0.00090547506,5.732168169290867e-05
2012-03,0.009970351,1.7659951065262607e-05,-7.334873e-05,1.949114344420753e-05
2012-04,0.010287206,1.5510020132217744e-05,0.0002435051,1.7566773341652818e-05
2012-05,0.009835823,1.2697476733692957e-05,-0.00020787716,1.5141225727723573e-05
2012-06,0.008412632,1.4528299450337376e-05,-0.0016310684,1.670635466084321e-05
2012-07,0.006188732,1.4350871018520192e-05,-0.0038549681,1.6552289875585405e-05
2012-08,0.005888048,1.2046282153917756e-05,-0.004155652,1.4599442279313334e-05
2012-09,0.0053113936,1.2260082436546731e-05,-0.0047323066,1.4776346723264378e-05
2012-10,0.0062039667,1.335534428623895e-05,-0.0038397335,1.569700678916779e-05
2012-11,0.007654575,7.647661691469583e-05,-0.0023891248,7.692011268746521e-05
2012-12,0.008081439,0.00013947887900852356,-0.0019622617,0.000139722541097024
2013-01,0.009553435,0.00012841253576789758,-0.0004902654,0.00012867715470695168
2013-02,0.008203058,5.780612770692941e-05,-0.0018406429,5.8391602149667344e-05
2013-03,0.009662002,6.830167456526712e-05,-0.00038169773,6.879788913589474e-05
2013-04,0.010744847,1.880848495759214e-05,0.0007011473,2.053752437698308e-05
2013-05,0.010808794,1.1498793238029834e-05,0.0007650934,1.4151079360464522e-05
2013-06,0.009763171,1.1349845275369443e-05,-0.00028052926,1.403031677867718e-05
2013-07,0.0076453215,1.2391127655786716e-05,-0.0023983784,1.4885255984268683e-05
2013-08,0.008655104,1.182263856845008e-05,-0.0013885967,1.4415463359025531e-05
2013-09,0.0072397934,1.1382748401447366e-05,-0.0028039068,1.405694711898202e-05
2013-10,0.009442202,1.5265742459345632e-05,-0.00060149806,1.73514752678345e-05
2013-11,0.010187015,9.659805225769784e-05,0.0001433149,9.694954616250728e-05
2013-12,0.006609123,0.00037613475064654186,-0.0034345768,0.0003762251738587829
2014-01,0.007937008,0.00027557981533730177,-0.0021066926,0.0002757032198260959
2014-02,0.0076301917,0.0002188358798276928,-0.0024135082,0.00021899126261359293
2014-03,0.009400643,0.00010141278730870872,-0.00064305664,0.00010174764975593586
2014-04,0.0100832125,3.13719950791404e-05,3.9512666e-05,3.2438139225005084e-05
2014-05,0.009644181,1.1154559813872159e-05,-0.00039951951,1.3872815351487095e-05
2014-06,0.010735248,1.0303579286576391e-05,0.000691548,1.3198278192626885e-05
2014-07,0.007850627,1.0712744550018219e-05,-0.0021930733,1.352012192730337e-05
2014-08,0.008193559,1.0195376516283835e-05,-0.0018501409,1.3113981220209072e-05
2014-09,0.008204324,1.2849454926586282e-05,-0.0018393763,1.526889953616752e-05
2014-10,0.007604651,1.4070572853772074e-05,-0.0024390488,1.630986883970904e-05
2014-11,0.009174574,0.0001036298224090425,-0.0008691259,0.00010395754370734668
2014-12,0.008527652,0.00015008650629770367,-0.0015160479,0.00015031297407005773
2015-01,0.006260173,0.00019740808426244817,-0.003783527,0.00019758031919527063
2015-02,0.008999904,0.0001310053468728563,-0.0010437965,0.00013126473902161465
2015-03,0.009063464,4.959424434838729e-05,-0.0009802365,5.027544006393926e-05
2015-04,0.009962929,1.3401588273480385e-05,-8.0771e-05,1.57363709090467e-05
2015-05,0.011429339,9.079258434673564e-06,0.0013856388,1.2266366000523357e-05
2015-06,0.0101612825,8.847413621216254e-06,0.00011758209,1.209576491670069e-05
2015-07,0.007985257,9.0220773628137e-06,-0.0020584434,1.2224102465040112e-05
2015-08,0.007434871,9.249202116590756e-06,-0.002608829,1.2392680941941145e-05
2015-09,0.007659034,8.618115873150697e-06,-0.0023846664,1.1929070472516136e-05
2015-10,0.00822881,1.0285647213742676e-05,-0.0018148907,1.3184283815997621e-05
2015-11,0.010192706,3.9783107706184895e-05,0.00014900566,4.062913314232919e-05
2015-12,0.010650306,5.09017893905419e-05,0.0006066062,5.156571500807768e-05
2016-01,0.0078400215,0.00011130135570029945,-0.0022036785,0.0001116065525937424
2016-02,0.011039554,7.618368487690482e-05,0.0009958536,7.662887603611801e-05
2016-03,0.01068697,4.640154971493212e-05,0.00064326974,4.712891487274581e-05
2016-04,0.010696214,1.527713255431537e-05,0.00065251364,1.7361497061524585e-05
2016-05,0.011327604,8.967942382133648e-06,0.0012839035,1.2184202546924163e-05
2016-06,0.009075383,8.765159420984001e-06,-0.0009683177,1.2035731004408036e-05
2016-07,0.008521876,9.135793467920157e-06,-0.0015218236,1.2308270529351267e-05
2016-08,0.0069046053,9.02228912695554e-06,-0.0031390951,1.222425875976063e-05
2016-09,0.0075179012,9.402330588902067e-06,-0.002525799,1.2507382685366583e-05
2016-10,0.007694602,9.575317297046997e-06,-0.002349098,1.2637939012130565e-05
2016-11,0.009559332,2.938886636548319e-05,-0.0004843682,3.052435531478812e-05
2016-12,0.010996955,0.00010893301954249431,0.0009532556,0.00010924483304843598
2017-01,0.010793797,0.0001521729562321392,0.0007500969,0.0001523963234778443
2017-02,0.009864307,3.891744173153736e-05,-0.00017939285,3.978188120316597e-05
2017-03,0.01073521,3.77306013123893e-05,0.00069151,3.8621614110879386e-05
2017-04,0.010712484,1.2207567459958478e-05,0.0006687835,1.4732803685132082e-05
2017-05,0.0110349385,9.053558733007994e-06,0.0009912379,1.224735591330756e-05
2017-06,0.008057802,8.89651040172931e-06,-0.001985898,1.213172281513562e-05
2017-07,0.007169501,9.13169627565391e-06,-0.0028741993,1.230522970147229e-05
2017-08,0.008067977,9.084085879639297e-06,-0.0019757233,1.2269939584360894e-05
2017-09,0.0075066998,9.455783521007847e-06,-0.0025370002,1.2547615037582556e-05
2017-10,0.009500769,2.0820347752969447e-05,-0.00054293126,2.239459045595128e-05
2017-11,0.008334329,6.934217601045555e-05,-0.0017093711,6.983099723618588e-05
2017-12,0.005885108,0.00035475996386759583,-0.0041585923,0.00035485583377545466
2018-01,0.0064499006,0.00017232422661463947,-0.0035937994,0.0001725215055564634
2018-02,0.007870103,0.00012545274236581093,-0.0021735968,0.00012572359113642014
2018-03,0.012046128,2.8489330565835187e-05,0.0020024271,2.9659277759659547e-05
2018-04,0.01091874,3.087189072025683e-05,0.00087504013,3.195472481149985e-05
2018-05,0.011139517,8.607237059305246e-06,0.0010958165,1.1921213483965547e-05
2018-06,0.010458175,8.530213551091205e-06,0.00041447507,1.1865721400843033e-05
2018-07,0.009261695,8.47382824871814e-06,-0.0007820055,1.1825251216104369e-05
2018-08,0.008287422,9.151259664178728e-06,-0.0017562778,1.2319754647574313e-05
2018-09,0.008368116,9.564069032363122e-06,-0.0016755842,1.2629418735278817e-05
2018-10,0.010288264,1.378411149994938e-05,0.00024456307,1.6063391017411018e-05
2018-11,0.009547185,5.993470560144813e-05,-0.0004965149,6.0499584599131444e-05
2018-12,0.010463751,0.00010313876918731627,0.00042005032,0.00010346804584319599
2019-01,0.008044773,0.00015370461500877227,-0.0019989274,0.00015392575962498972
2019-02,0.0075980276,0.00015803432914186373,-0.0024456724,0.00015824942334319617
2019-03,0.011741381,4.7631920258488464e-05,0.0016976811,4.834077604513821e-05
2019-04,0.012338117,1.4300134255520301e-05,0.0022944168,1.650832035251041e-05
2019-05,0.012861795,9.641088578409904e-06,0.0028180943,1.2687844186935392e-05
2019-06,0.010985526,8.009445985950462e-06,0.00094182644,1.1497044234804976e-05
2019-07,0.009671923,8.157707514864209e-06,-0.00037177728,1.1600818636340986e-05
2019-08,0.009585834,8.280971930521009e-06,-0.00045786574,1.1687826883098551e-05
2019-09,0.0086851735,8.45914126686149e-06,-0.001358527,1.181473114835557e-05
2019-10,0.010248954,1.5839396276233784e-05,0.00020525456,1.785825510879417e-05
2019-11,0.009260688,5.1825186074057136e-05,-0.0007830121,5.247743050822753e-05
2019-12,0.010688908,0.00015106730538821847,0.00064520835,0.00015129230502042217
2020-01,0.0073684785,9.562308157424278e-05,-0.002675222,9.597814611092201e-05
2020-02,0.01031683,6.27615433092478e-05,0.0002731301,6.3301201565956e-05
2020-03,0.01174325,1.0585173999263976e-05,0.0016995504,1.3419266363326217e-05
2020-04,0.010693577,1.3434841375277928e-05,0.0006498769,1.5764699930987715e-05
2020-05,0.011234007,8.172939967432378e-06,0.001190307,1.1611535163209811e-05
2020-06,0.009781922,8.190928203457585e-06,-0.0002617784,1.1624203455265279e-05
2020-07,0.008720065,8.747944509346319e-06,-0.0013236359,1.2023199835060829e-05
2020-08,0.00694824,9.177517638265367e-06,-0.00309546,1.233927190460913e-05
2020-09,0.006959583,8.689134730929558e-06,-0.0030841173,1.1980478433996307e-05
2020-10,0.006905602,1.4489482858873121e-05,-0.0031380982,1.6672609713322693e-05
2020-11,0.009763205,2.5546888799786335e-05,-0.000280495,2.6845378158704578e-05
2020-12,0.007932174,0.000266337308132911,-0.0021115267,0.0002664649930190087
2021-01,0.009119747,0.0001768490425761614,-0.0009239532,0.00017704127954022516
2021-02,0.008795902,0.00010475835536427451,-0.001247798,0.00010508255716227516
2021-03,0.011325668,1.7799252065624758e-05,0.001281967,1.9617445685686286e-05
2021-04,0.010395794,9.761306192209257e-06,0.00035209357,1.2779432683545349e-05
2021-05,0.010475551,8.109690581212733e-06,0.00043185055,1.1567103460167323e-05
2021-06,0.008537929,8.825803175321183e-06,-0.001505772,1.2079967004289118e-05
2021-07,0.0075787376,8.842759441130001e-06,-0.002464963,1.2092361046085998e-05
2021-08,0.0065683755,9.536439063806007e-06,-0.003475325,1.2608507887648305e-05
2021-09,0.007256885,8.678796273484641e-06,-0.0027868152,1.1972982330725091e-05
2021-10,0.008385043,8.11161651684525e-06,-0.0016586572,1.1568453814212209e-05
2021-11,0.009559117,2.917716731813984e-05,-0.0004845828,3.0320585315028668e-05
2021-12,0.008745856,9.470547281935506e-05,-0.0012978442,9.506396469258373e-05
2022-01,0.006665945,0.00017295470521243458,-0.003377755,0.0001731512658234278
2022-02,0.006236249,0.00018424650667989804,-0.0038074509,0.0001844310332478808
2022-03,0.009312866,5.61905663530493e-05,-0.00073083414,5.679269801842171e-05
